geo,country_name,time,sex,age,indicator_code,indicator_label,value,unit,data_suppressed,source_dataset
IS,Iceland,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,86.4,PC,False,hlth_ehis_pe3
IS,Iceland,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,97.7,PC,False,hlth_ehis_pe3
IT,Italy,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,40.4,PC,False,hlth_ehis_pe3
IT,Italy,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,44.5,PC,False,hlth_ehis_pe3
LT,Lithuania,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,71.1,PC,False,hlth_ehis_pe3
LT,Lithuania,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,57.9,PC,False,hlth_ehis_pe3
LU,Luxembourg,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,88.3,PC,False,hlth_ehis_pe3
LU,Luxembourg,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,84.0,PC,False,hlth_ehis_pe3
LV,Latvia,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,73.6,PC,False,hlth_ehis_pe3
LV,Latvia,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,60.6,PC,False,hlth_ehis_pe3
MT,Malta,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,49.0,PC,False,hlth_ehis_pe3
MT,Malta,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,34.0,PC,False,hlth_ehis_pe3
NL,Netherlands,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,62.9,PC,False,hlth_ehis_pe3
NO,Norway,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,81.5,PC,False,hlth_ehis_pe3
NO,Norway,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,87.9,PC,False,hlth_ehis_pe3
PL,Poland,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,40.8,PC,False,hlth_ehis_pe3
PL,Poland,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,35.0,PC,False,hlth_ehis_pe3
PT,Portugal,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,68.7,PC,False,hlth_ehis_pe3
PT,Portugal,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,33.4,PC,False,hlth_ehis_pe3
RO,Romania,2014,F,Y15-19,MV_AERO_SPRT,Aerobic sports,17.0,PC,False,hlth_ehis_pe3
RO,Romania,2019,F,Y15-19,MV_AERO_SPRT,Aerobic sports,17.3,PC,False,hlth_ehis_pe3
